Year,Native,Foreigner,Total
1993,6332,18,6355
1994,3915,22,3943
1995,4823,16,4839
1996,5422,23,5445
1997,6044,41,6085
1998,7332,14,7346
1999,9850,29,9879
2000,9615,31,9646
2001,10032,70,10102
2002,10585,88,10673
2003,7460,86,7546
2004,7544,203,7747
2005,6992,162,7154
2006,7593,116,7709
2007,10351,298,10649
2008,8970,928,9898
2009,10985,890,11875
2010,8874,858,9732
2011,8879,295,9174
2012,8896,359,9255
2013,9371,393,9764
2014,9433,551,9984
2015,11276,640,11916
2016,13257,957,14214
2017,13191,932,14123
2018,11665,948,12613
2019,14515,1529,16044
2020,16092,1958,18050
2021,13814,2339,16153
2022,15786,2573,18359
