Year,Native,Foreigner,Total,Native_rate,Foreigner_rate,Total_rate
1993,6332,18,6355,0,0,0
1994,3915,22,3943,-38.17119394,22.22222222,-37.95436664
1995,4823,16,4839,23.19284802,-27.27272727,22.72381435
1996,5422,23,5445,12.41965582,43.75,12.52324861
1997,6044,41,6085,11.47178163,78.26086957,11.75390266
1998,7332,14,7346,21.31039047,-65.85365854,20.72308956
1999,9850,29,9879,34.34260775,107.1428571,34.48135039
2000,9615,31,9646,-2.385786802,6.896551724,-2.358538314
2001,10032,70,10102,4.336973479,125.8064516,4.727348124
2002,10585,88,10673,5.512360447,25.71428571,5.65234607
2003,7460,86,7546,-29.52290978,-2.272727273,-29.29822918
2004,7544,203,7747,1.126005362,136.0465116,2.663662868
2005,6992,162,7154,-7.317073171,-20.19704433,-7.654575965
2006,7593,116,7709,8.595537757,-28.39506173,7.75789768
2007,10351,298,10649,36.32292901,156.8965517,38.13724218
2008,8970,928,9898,-13.34170612,211.409396,-7.052305381
2009,10985,890,11875,22.46376812,-4.094827586,19.97373207
2010,8874,858,9732,-19.21711425,-3.595505618,-18.04631579
2011,8879,295,9174,0.056344377,-65.61771562,-5.733662145
2012,8896,359,9255,0.191463003,21.69491525,0.88293002
2013,9371,393,9764,5.339478417,9.470752089,5.499729876
2014,9433,551,9984,0.661615623,40.20356234,2.253174928
2015,11276,640,11916,19.53779285,16.15245009,19.35096154
2016,13257,957,14214,17.56828663,49.53125,19.28499496
2017,13191,932,14123,-0.497850192,-2.612330199,-0.640213874
2018,11665,948,12613,-11.56849367,1.716738197,-10.69177937
2019,14515,1529,16044,24.43206172,61.28691983,27.20209308
2020,16092,1958,18050,10.8646228,28.05755396,12.50311643
2021,13814,2339,16153,-14.15610241,19.45863126,-10.50969529
2022,15786,2573,18359,14.27537281,10.00427533,13.65690584
